product_id,product_name,category,price
P00001,Secured foreground protocol,home,2501.88
P00002,Decentralized uniform framework,electronics,674.92
P00003,Profit-focused fault-tolerant secured line,books,4355.02
P00004,Open-source fresh-thinking initiative,apparel,
P00005,Total explicit neural-net,apparel,125.97
P00006,De-engineered content-based instruction set,home,2079.39
P00007,Synchronized homogeneous service-desk,home,420.40
P00008,User-friendly context-sensitive pricing structure,books,1725.88
P00009,Re-contextualized exuding initiative,apparel,3266.69
P00010,Reactive 24hour framework,books,4269.09
P00011,Horizontal demand-driven Internet solution,apparel,4772.99
P00012,Reduced real-time projection,apparel,4368.30
P00013,Inverse maximized intranet,electronics,3106.42
P00014,Organic systematic data-warehouse,home,3174.25
P00015,Profound methodical utilization,books,4987.26
P00016,User-centric composite protocol,electronics,2198.16
P00017,Configurable executive migration,electronics,3813.83
P00018,Switchable scalable process improvement,electronics,2246.21
P00019,Managed background system engine,books,4521.95
P00020,Front-line systematic function,electronics,1655.65
