product_id,product_name,category,price
P00001,Persevering grid-enabled function,books,2568.92
P00002,Focused directional algorithm,books,2106.68
P00003,Switchable content-based initiative,apparel,4902.21
P00004,Managed even-keeled architecture,home,2311.09
P00005,Visionary even-keeled hardware,home,1948.75
P00006,Stand-alone multimedia initiative,home,4326.93
P00007,Synergistic national groupware,books,3874.74
P00008,Assimilated bifurcated firmware,apparel,1732.38
P00009,Enhanced optimal firmware,books,4111.72
P00010,Automated bi-directional policy,books,3643.95
P00011,Optional grid-enabled superstructure,apparel,4333.04
P00012,Intuitive intermediate portal,apparel,2715.97
P00013,Profound bifurcated info-mediaries,books,1695.58
P00014,Re-engineered content-based extranet,apparel,2303.96
P00015,Balanced tertiary Internet solution,books,4354.53
P00016,Adaptive multi-state workforce,home,2880.40
P00017,Public-key systemic success,home,4287.26
P00018,User-centric user-facing secured line,apparel,266.05
P00019,Exclusive high-level Internet solution,apparel,3540.88
P00020,Cloned static groupware,apparel,1961.09
